date,open,high,low,close
2024-09-03 00:00:00,1.10673,1.10685,1.10648,1.1068
2024-09-03 00:15:00,1.10679,1.10689,1.10662,1.10678
2024-09-03 00:30:00,1.10678,1.1068,1.10626,1.10627
2024-09-03 00:45:00,1.10626,1.10637,1.10592,1.10607
2024-09-03 01:00:00,1.10607,1.10644,1.10601,1.10632
2024-09-03 01:15:00,1.10633,1.10654,1.10611,1.1062
2024-09-03 01:30:00,1.1062,1.10651,1.10612,1.1063
2024-09-03 01:45:00,1.10629,1.10684,1.10624,1.1067
2024-09-03 02:00:00,1.10671,1.10696,1.10662,1.10693
2024-09-03 02:15:00,1.10692,1.10704,1.10668,1.10671
2024-09-03 02:30:00,1.10672,1.10676,1.1066,1.1067
2024-09-03 02:45:00,1.1067,1.1068,1.10632,1.10638
2024-09-03 03:00:00,1.10638,1.10638,1.10591,1.10606
2024-09-03 03:15:00,1.10606,1.10607,1.10586,1.10588
2024-09-03 03:30:00,1.10588,1.10598,1.10576,1.10587
2024-09-03 03:45:00,1.10586,1.10602,1.10582,1.10582
2024-09-03 04:00:00,1.10582,1.1059,1.10545,1.10568
2024-09-03 04:15:00,1.10567,1.1058,1.10546,1.10548
2024-09-03 04:30:00,1.1055,1.10558,1.10542,1.10545
2024-09-03 04:45:00,1.10545,1.10564,1.10542,1.10543
2024-09-03 05:00:00,1.10543,1.10562,1.10541,1.10556
2024-09-03 05:15:00,1.10557,1.10574,1.10545,1.10553
2024-09-03 05:30:00,1.10553,1.1058,1.10541,1.10558
2024-09-03 05:45:00,1.10557,1.10601,1.10546,1.10597
2024-09-03 06:00:00,1.10598,1.10598,1.10545,1.10556
2024-09-03 06:15:00,1.10557,1.10574,1.10537,1.10562
2024-09-03 06:30:00,1.1056,1.10586,1.10512,1.10585
2024-09-03 06:45:00,1.10586,1.10617,1.10564,1.10617
2024-09-03 07:00:00,1.10617,1.10648,1.10573,1.10642
2024-09-03 07:15:00,1.10642,1.10679,1.1063,1.10646
2024-09-03 07:30:00,1.10646,1.10649,1.10602,1.10622
2024-09-03 07:45:00,1.10622,1.10644,1.10557,1.1056
2024-09-03 08:00:00,1.10559,1.10598,1.10541,1.10568
2024-09-03 08:15:00,1.10567,1.10596,1.10503,1.10512
2024-09-03 08:30:00,1.10513,1.10542,1.10499,1.10525
2024-09-03 08:45:00,1.10524,1.10534,1.10482,1.10487
2024-09-03 09:00:00,1.10486,1.10508,1.10343,1.10364
2024-09-03 09:15:00,1.10364,1.10391,1.1035,1.10388
2024-09-03 09:30:00,1.10388,1.1042,1.10374,1.1041
2024-09-03 09:45:00,1.1041,1.10421,1.10394,1.10402
2024-09-03 10:00:00,1.10402,1.10417,1.10362,1.10416
2024-09-03 10:15:00,1.10416,1.1042,1.10377,1.104
2024-09-03 10:30:00,1.104,1.104,1.10333,1.1037
2024-09-03 10:45:00,1.10369,1.104,1.10354,1.10358
2024-09-03 11:00:00,1.10358,1.10395,1.10338,1.10394
2024-09-03 11:15:00,1.10394,1.10405,1.10361,1.10382
2024-09-03 11:30:00,1.10382,1.1043,1.10379,1.10415
2024-09-03 11:45:00,1.10414,1.10414,1.1036,1.10365
2024-09-03 12:00:00,1.10364,1.10396,1.10337,1.10389
2024-09-03 12:15:00,1.10388,1.10398,1.10354,1.1039
2024-09-03 12:30:00,1.1039,1.10518,1.1039,1.10512
2024-09-03 12:45:00,1.10512,1.10528,1.10456,1.1048
2024-09-03 13:00:00,1.10481,1.10563,1.10481,1.1055
2024-09-03 13:15:00,1.1055,1.10627,1.10532,1.10625
2024-09-03 13:30:00,1.10625,1.10635,1.10566,1.1057
2024-09-03 13:45:00,1.1057,1.10628,1.10511,1.10622
2024-09-03 14:00:00,1.10621,1.10694,1.10488,1.10488
2024-09-03 14:15:00,1.10488,1.10507,1.10372,1.10392
2024-09-03 14:30:00,1.10392,1.10508,1.10382,1.10502
2024-09-03 14:45:00,1.10502,1.10552,1.10393,1.10422
2024-09-03 15:00:00,1.10422,1.10446,1.10365,1.10384
2024-09-03 15:15:00,1.10386,1.10411,1.10368,1.10401
2024-09-03 15:30:00,1.10402,1.1042,1.10365,1.10378
2024-09-03 15:45:00,1.10378,1.10436,1.10361,1.10425
2024-09-03 16:00:00,1.10425,1.1045,1.10395,1.10446
2024-09-03 16:15:00,1.10448,1.10473,1.10432,1.10445
2024-09-03 16:30:00,1.10446,1.10452,1.10405,1.10413
2024-09-03 16:45:00,1.10414,1.10416,1.10382,1.10393
2024-09-03 17:00:00,1.10394,1.10402,1.10332,1.1034
2024-09-03 17:15:00,1.1034,1.10382,1.10339,1.10362
2024-09-03 17:30:00,1.1036,1.1036,1.10334,1.10346
2024-09-03 17:45:00,1.10346,1.10354,1.10265,1.10282
2024-09-03 18:00:00,1.10281,1.10296,1.10266,1.10287
2024-09-03 18:15:00,1.10288,1.1033,1.10279,1.10319
